Airport.Code,Airport.Name,Time.Month,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Weather,Statistics.Flights.Cancelled,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
DTW,"Detroit, MI: Detroit Metro Wayne County",12,2009,767,933,1111,98,314,9562,12807,52655,55989,38995,155859,7945
EWR,"Newark, NJ: Newark Liberty International",12,2009,323,676,2080,108,448,5929,9586,23842,51570,132377,217785,9624
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",12,2009,604,558,678,59,115,3787,5839,27600,36084,24399,92964,4530
IAD,"Washington, DC: Washington Dulles International",12,2009,440,306,314,58,357,3875,5362,25984,20035,14904,66229,5233
IAH,"Houston, TX: George Bush Intercontinental/Houston",12,2009,766,1197,2366,178,392,11190,16169,50940,73104,77983,215601,13063
JFK,"New York, NY: John F. Kennedy International",12,2009,516,764,944,110,500,6995,9854,37350,52546,53707,156122,12227
LAS,"Las Vegas, NV: McCarran International",12,2009,725,1132,747,88,153,9366,12232,35772,63055,28081,133141,5933
LAX,"Los Angeles, CA: Los Angeles International",12,2009,981,1353,1168,138,252,12342,16268,58039,75114,40830,184760,10019
LGA,"New York, NY: LaGuardia",12,2009,410,526,837,129,380,5598,7891,22780,33030,37624,104702,11067
MCO,"Orlando, FL: Orlando International",12,2009,878,1042,1021,91,172,7128,10358,43376,66321,35585,153255,7559
MDW,"Chicago, IL: Chicago Midway International",12,2009,466,813,520,116,146,5019,7173,20999,44959,23645,99503,9555
MIA,"Miami, FL: Miami International",12,2009,506,488,608,98,110,3931,5770,28295,33068,21611,90759,7262
MSP,"Minneapolis, MN: Minneapolis-St Paul International",12,2009,569,774,718,105,265,6947,9400,34246,45271,27781,114412,6899
ORD,"Chicago, IL: Chicago O'Hare International",12,2009,1247,2294,3520,263,1399,16951,25716,100859,171765,253846,551151,23749
PDX,"Portland, OR: Portland International",12,2009,283,394,217,25,40,3233,4205,14383,22417,7512,46594,2212
PHL,"Philadelphia, PA: Philadelphia International",12,2009,399,560,737,90,398,5203,7425,24835,36685,44154,114909,9120
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",12,2009,891,1067,1012,129,242,12222,15617,46753,58233,32067,146311,8829
SAN,"San Diego, CA: San Diego International",12,2009,424,624,427,46,103,4901,6561,19155,32122,15637,70135,3046
SEA,"Seattle, WA: Seattle/Tacoma International",12,2009,424,511,361,52,45,6424,7828,22049,31539,11930,69571,3809
SFO,"San Francisco, CA: San Francisco International",12,2009,515,969,1566,106,255,7963,11402,33799,64193,96969,203884,8607
SLC,"Salt Lake City, UT: Salt Lake City International",12,2009,572,1171,911,86,190,7378,10334,32698,67431,32883,140089,6882
TPA,"Tampa, FL: Tampa International",12,2009,539,573,563,55,86,4112,5943,26821,34371,20001,86976,5539
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1,2010,1176,1837,2648,234,1148,26599,33729,103263,114573,144184,385173,22850
BOS,"Boston, MA: Logan International",1,2010,505,514,895,63,279,6635,8912,29853,36329,43836,116343,5330
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1,2010,435,647,414,48,117,6263,7935,18764,32665,13217,67751,2664
CLT,"Charlotte, NC: Charlotte Douglas International",1,2010,524,414,809,58,325,7723,9864,28438,24802,25401,83586,4673
DCA,"Washington, DC: Ronald Reagan Washington National",1,2010,350,261,405,39,230,5060,6369,16821,15292,14052,50035,3184
DEN,"Denver, CO: Denver International",1,2010,682,1134,751,103,307,15976,18999,38660,66117,26401,141178,9628
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1,2010,741,1519,1116,166,590,18319,22556,55274,83668,41164,193306,12783
DTW,"Detroit, MI: Detroit Metro Wayne County",1,2010,695,777,1240,64,288,9636,12738,50806,45519,40111,141855,4759
EWR,"Newark, NJ: Newark Liberty International",1,2010,298,452,1705,62,225,6601,9371,21373,32522,104937,164889,5750
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1,2010,421,386,423,35,48,4421,5750,21321,25319,15062,64936,2665
IAD,"Washington, DC: Washington Dulles International",1,2010,425,262,357,54,132,4504,5738,24644,18601,16229,63482,3925
IAH,"Houston, TX: George Bush Intercontinental/Houston",1,2010,417,719,1139,75,214,12592,15194,27710,41368,34511,111814,6514
JFK,"New York, NY: John F. Kennedy International",1,2010,461,477,1009,58,210,7327,9562,33727,35415,59514,133503,4654
LAS,"Las Vegas, NV: McCarran International",1,2010,466,710,539,118,131,9915,11915,25342,39775,34099,110648,10640
LAX,"Los Angeles, CA: Los Angeles International",1,2010,672,1077,791,64,314,13104,16064,39186,65439,26588,136435,3986
LGA,"New York, NY: LaGuardia",1,2010,398,344,713,81,363,6103,8045,24508,20657,40465,92230,6497
MCO,"Orlando, FL: Orlando International",1,2010,621,641,693,41,85,7957,10062,32181,39145,24000,98368,2139
MDW,"Chicago, IL: Chicago Midway International",1,2010,348,517,350,54,173,5243,6708,15320,26151,12491,56908,2753
MIA,"Miami, FL: Miami International",1,2010,402,383,472,52,96,4411,5828,24580,21631,14909,65177,3111
MSP,"Minneapolis, MN: Minneapolis-St Paul International",1,2010,503,451,548,41,182,7588,9328,33579,26934,17281,81884,3839
ORD,"Chicago, IL: Chicago O'Hare International",1,2010,1028,1760,2198,170,927,19349,25460,73601,105689,86900,279701,13279
PDX,"Portland, OR: Portland International",1,2010,171,265,85,13,38,3465,4042,8229,14993,2410,26311,562
PHL,"Philadelphia, PA: Philadelphia International",1,2010,377,359,636,45,176,5487,7107,20112,21664,25514,70447,2894
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1,2010,603,674,524,68,444,12879,15287,31672,36807,17150,90522,4481
SAN,"San Diego, CA: San Diego International",1,2010,306,384,229,37,136,5209,6338,13933,19421,8345,44381,2051
SEA,"Seattle, WA: Seattle/Tacoma International",1,2010,286,363,253,28,55,6349,7348,15668,21770,7439,47349,1809
SFO,"San Francisco, CA: San Francisco International",1,2010,359,904,2184,103,446,7236,11279,25773,71333,150748,256504,8149
SLC,"Salt Lake City, UT: Salt Lake City International",1,2010,387,602,498,60,147,8731,10452,21916,31383,14336,72284,4483
TPA,"Tampa, FL: Tampa International",1,2010,394,366,340,21,59,4537,5729,19367,21944,11923,55598,2022
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2,2010,1194,2204,2826,324,2226,22446,31253,90288,164040,129234,418899,35073
BOS,"Boston, MA: Logan International",2,2010,482,504,857,76,785,5692,8418,26826,34300,49510,117814,7124
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2,2010,321,498,350,69,1352,4693,7321,18241,28243,16036,67524,4829
CLT,"Charlotte, NC: Charlotte Douglas International",2,2010,387,459,682,52,414,6878,8881,21370,23878,23481,74984,6009
DCA,"Washington, DC: Ronald Reagan Washington National",2,2010,271,235,284,46,1346,3763,5961,15095,13126,10265,42701,3886
DEN,"Denver, CO: Denver International",2,2010,604,1284,809,54,383,14663,17813,30234,71402,25427,130896,3572
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2,2010,763,1696,1347,192,1303,15174,20561,55643,98603,46372,217321,16266
DTW,"Detroit, MI: Detroit Metro Wayne County",2,2010,747,1127,1161,70,635,7873,11631,53795,76799,40496,176755,5432
EWR,"Newark, NJ: Newark Liberty International",2,2010,230,437,1113,74,1195,5649,8720,15190,26196,56546,106385,8187
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2,2010,408,433,495,46,252,3749,5401,21345,29154,20674,74674,3287
IAD,"Washington, DC: Washington Dulles International",2,2010,270,349,301,31,962,3509,5441,16243,22901,12502,55320,3563
IAH,"Houston, TX: George Bush Intercontinental/Houston",2,2010,498,763,1593,86,346,10757,14113,30973,40088,51572,130559,7589
JFK,"New York, NY: John F. Kennedy International",2,2010,502,529,796,86,887,6078,8894,31286,37041,39006,116652,9273
LAS,"Las Vegas, NV: McCarran International",2,2010,446,605,326,46,194,9098,10736,21197,32021,11237,67651,2964
LAX,"Los Angeles, CA: Los Angeles International",2,2010,653,947,568,63,373,12158,14800,38213,51899,18321,112660,3955
LGA,"New York, NY: LaGuardia",2,2010,342,330,691,85,1052,4888,7448,20171,23357,44497,96110,8045
MCO,"Orlando, FL: Orlando International",2,2010,683,711,895,68,415,6655,9443,34245,47348,32077,120157,6095
MDW,"Chicago, IL: Chicago Midway International",2,2010,241,402,200,31,396,4678,5987,11128,22333,7420,43241,2161
MIA,"Miami, FL: Miami International",2,2010,392,371,495,65,222,3757,5324,25999,23222,19151,72426,3953
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2,2010,521,537,685,97,277,6821,8962,39479,32857,28496,109948,8826
ORD,"Chicago, IL: Chicago O'Hare International",2,2010,763,1645,2578,134,1174,17410,23737,61463,101594,131522,306691,11878
PDX,"Portland, OR: Portland International",2,2010,155,218,89,9,39,3212,3733,7091,11471,2592,22047,718
PHL,"Philadelphia, PA: Philadelphia International",2,2010,285,392,676,71,1023,4095,6575,16647,24028,29998,77174,6358
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2,2010,483,591,480,62,255,12096,13976,23666,31563,14834,74180,3983
SAN,"San Diego, CA: San Diego International",2,2010,292,344,156,28,113,4900,5843,13379,18512,4838,38464,1590
SEA,"Seattle, WA: Seattle/Tacoma International",2,2010,250,313,197,29,74,5827,6703,13179,17441,6202,39558,2569
SFO,"San Francisco, CA: San Francisco International",2,2010,339,815,1915,104,415,6660,10307,22164,59540,122598,212140,7659
SLC,"Salt Lake City, UT: Salt Lake City International",2,2010,371,440,359,33,149,8141,9507,20377,22384,10314,55878,2624
TPA,"Tampa, FL: Tampa International",2,2010,362,351,384,48,235,4031,5418,18743,21971,14449,60007,4656
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3,2010,1393,2238,3446,194,912,26901,35186,116301,174209,187886,497183,18234
BOS,"Boston, MA: Logan International",3,2010,592,624,1436,61,242,6643,9637,35052,41917,68051,149824,4661
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",3,2010,473,834,425,29,76,6804,8655,23060,45649,13167,84130,2123
CLT,"Charlotte, NC: Charlotte Douglas International",3,2010,446,484,677,27,146,8128,9933,25989,29644,23572,81344,1990
DCA,"Washington, DC: Ronald Reagan Washington National",3,2010,369,369,413,41,147,5400,6746,19980,22236,12651,57334,2408
DEN,"Denver, CO: Denver International",3,2010,704,1330,710,86,402,16908,20229,39611,74074,26253,147563,7300
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",3,2010,821,1671,1308,299,324,18428,22975,68106,100083,52257,239759,19116
DTW,"Detroit, MI: Detroit Metro Wayne County",3,2010,669,676,591,38,172,11051,13210,41423,39981,17799,104321,5002
EWR,"Newark, NJ: Newark Liberty International",3,2010,375,564,2364,55,293,6200,9891,28487,43135,160846,237211,4513
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",3,2010,474,507,516,31,56,4550,6163,27259,36656,21978,88743,2619
IAD,"Washington, DC: Washington Dulles International",3,2010,336,476,460,17,73,4875,6248,19008,29736,13802,64278,1665
IAH,"Houston, TX: George Bush Intercontinental/Houston",3,2010,489,904,1140,51,107,12921,15640,32232,47046,34010,117351,3808
JFK,"New York, NY: John F. Kennedy International",3,2010,557,486,1669,61,450,6788,10080,38075,36183,74775,154109,4923
LAS,"Las Vegas, NV: McCarran International",3,2010,507,777,394,57,65,10353,12189,24936,39201,15583,83451,3510
LAX,"Los Angeles, CA: Los Angeles International",3,2010,718,957,512,55,193,14370,16842,39028,53940,15666,113194,4120
LGA,"New York, NY: LaGuardia",3,2010,418,415,1464,129,279,5687,8434,28131,31620,81876,150153,8512
MCO,"Orlando, FL: Orlando International",3,2010,720,861,791,40,62,8571,11092,40746,56913,28605,129784,3134
MDW,"Chicago, IL: Chicago Midway International",3,2010,370,616,173,43,70,5802,7118,17038,33109,5833,59455,3304
MIA,"Miami, FL: Miami International",3,2010,431,437,519,40,66,4375,5882,28867,29967,19114,81710,3682
MSP,"Minneapolis, MN: Minneapolis-St Paul International",3,2010,529,461,398,43,102,8799,10348,31828,26047,12192,73430,3148
ORD,"Chicago, IL: Chicago O'Hare International",3,2010,870,1691,2311,110,477,21521,27054,66921,117606,141124,336226,10425
PDX,"Portland, OR: Portland International",3,2010,184,246,96,13,21,3758,4327,9258,13652,2849,26592,761
PHL,"Philadelphia, PA: Philadelphia International",3,2010,405,478,1215,89,116,5239,7556,23788,31268,54410,116419,6748
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",3,2010,604,769,431,38,124,13759,15742,32618,37162,12728,85315,2568
SAN,"San Diego, CA: San Diego International",3,2010,316,456,140,32,54,5601,6615,13969,22766,4227,42845,1636
SEA,"Seattle, WA: Seattle/Tacoma International",3,2010,316,353,213,24,26,6727,7671,16964,19174,6450,44298,1573
SFO,"San Francisco, CA: San Francisco International",3,2010,377,694,1287,61,188,8910,11534,25859,50051,79506,159709,4121
SLC,"Salt Lake City, UT: Salt Lake City International",3,2010,344,470,307,23,90,9335,10594,18626,25243,8768,54175,1470
TPA,"Tampa, FL: Tampa International",3,2010,455,506,405,27,42,4999,6474,24254,29792,15405,71889,2312
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",4,2010,950,1295,1866,113,254,29617,34177,73349,95114,98467,277192,10079
BOS,"Boston, MA: Logan International",4,2010,388,390,500,32,58,7986,9363,20146,21281,18527,61887,1774
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",4,2010,324,536,222,30,19,7443,8614,15291,27073,8455,53650,2813
CLT,"Charlotte, NC: Charlotte Douglas International",4,2010,297,276,353,30,42,8734,9746,17088,14727,10764,44634,1907
DCA,"Washington, DC: Ronald Reagan Washington National",4,2010,332,207,211,21,60,5639,6483,16567,10748,6398,35413,1600
DEN,"Denver, CO: Denver International",4,2010,588,1053,816,70,154,16322,19059,33097,56564,28026,122726,4689
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",4,2010,676,1093,779,119,159,19305,22171,50996,60606,26092,145144,7346
DTW,"Detroit, MI: Detroit Metro Wayne County",4,2010,636,582,689,21,91,11516,13552,44477,31168,20226,97571,1525
EWR,"Newark, NJ: Newark Liberty International",4,2010,257,344,1083,37,45,7878,9668,17273,20119,46027,85664,1997
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",4,2010,281,279,256,18,12,4658,5527,13969,15863,9342,40580,1362
IAD,"Washington, DC: Washington Dulles International",4,2010,235,266,191,13,37,5486,6245,13417,15787,6817,36926,736
IAH,"Houston, TX: George Bush Intercontinental/Houston",4,2010,384,534,1186,30,21,12602,14781,21376,24381,32244,80296,2063
JFK,"New York, NY: John F. Kennedy International",4,2010,383,292,723,16,79,7729,9261,28583,17766,32913,80776,1280
LAS,"Las Vegas, NV: McCarran International",4,2010,502,642,440,39,56,10350,12074,24513,31210,13924,73414,3442
LAX,"Los Angeles, CA: Los Angeles International",4,2010,688,807,617,39,118,14021,16322,36772,45893,18479,103815,2287
LGA,"New York, NY: LaGuardia",4,2010,356,266,614,32,77,7256,8623,20586,14809,22271,59536,1818
MCO,"Orlando, FL: Orlando International",4,2010,476,431,380,26,26,9184,10548,24270,20477,12469,59086,1658
MDW,"Chicago, IL: Chicago Midway International",4,2010,313,427,157,26,26,6155,7121,11984,20359,5374,39519,1720
MIA,"Miami, FL: Miami International",4,2010,357,429,353,21,63,4527,5787,25330,25042,12825,64395,1138
MSP,"Minneapolis, MN: Minneapolis-St Paul International",4,2010,446,414,570,24,61,8185,9712,28723,19915,15996,65960,1316
ORD,"Chicago, IL: Chicago O'Hare International",4,2010,708,1358,2185,67,389,21014,25754,50594,86457,143513,287075,6207
PDX,"Portland, OR: Portland International",4,2010,160,175,120,13,16,3735,4223,6924,9216,3273,20194,714
PHL,"Philadelphia, PA: Philadelphia International",4,2010,253,233,447,23,41,6166,7179,12856,13722,19300,48247,2233
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",4,2010,478,666,503,35,115,13204,15014,23457,32935,13314,72022,2253
SAN,"San Diego, CA: San Diego International",4,2010,328,367,219,14,21,5534,6493,14388,17133,6258,38549,601
SEA,"Seattle, WA: Seattle/Tacoma International",4,2010,269,252,219,17,16,6741,7525,13561,14067,6065,34765,1012
SFO,"San Francisco, CA: San Francisco International",4,2010,442,607,1256,42,162,8706,11236,26919,41721,81668,154108,3345
SLC,"Salt Lake City, UT: Salt Lake City International",4,2010,325,529,404,18,96,8544,9940,16839,28469,10936,57665,1275
TPA,"Tampa, FL: Tampa International",4,2010,282,262,214,17,11,5349,6173,13121,12897,7058,34986,1827
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",5,2010,1424,2181,3414,221,484,27002,34856,115824,153104,183080,472715,20431
BOS,"Boston, MA: Logan International",5,2010,406,474,638,51,102,7681,9360,21456,27559,27339,80850,4483
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",5,2010,384,670,447,73,39,7520,9154,19308,38368,19894,83184,5488
CLT,"Charlotte, NC: Charlotte Douglas International",5,2010,377,483,717,39,72,8648,10352,22365,28336,26861,80805,3174
DCA,"Washington, DC: Ronald Reagan Washington National",5,2010,372,344,467,29,107,5224,6562,19679,21083,19337,62475,2301
DEN,"Denver, CO: Denver International",5,2010,636,1225,1172,124,233,16367,19890,41073,76198,62161,193474,13786
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",5,2010,908,1645,1449,265,496,17721,22669,71586,102688,68122,264624,22123
DTW,"Detroit, MI: Detroit Metro Wayne County",5,2010,756,968,1254,111,220,10000,13376,56694,57122,47867,170968,9188
EWR,"Newark, NJ: Newark Liberty International",5,2010,289,425,1545,48,124,6870,9350,22933,29517,97199,153232,3344
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",5,2010,257,248,196,24,23,4211,4971,13608,14754,6906,37345,2002
IAD,"Washington, DC: Washington Dulles International",5,2010,266,407,312,20,90,5410,6528,15348,26946,12519,55899,1053
IAH,"Houston, TX: George Bush Intercontinental/Houston",5,2010,505,682,1324,57,143,12545,15321,37027,40616,46519,128967,4503
JFK,"New York, NY: John F. Kennedy International",5,2010,462,364,1309,44,213,6805,9244,31137,23990,75515,134050,3227
LAS,"Las Vegas, NV: McCarran International",5,2010,574,1011,582,43,54,10196,12477,28717,52924,18551,104312,3858
LAX,"Los Angeles, CA: Los Angeles International",5,2010,829,1028,867,80,152,13937,16926,44794,61374,28361,141301,6538
LGA,"New York, NY: LaGuardia",5,2010,420,416,1138,74,198,6744,9031,25730,25885,57024,113556,4917
MCO,"Orlando, FL: Orlando International",5,2010,520,609,436,35,38,8818,10471,28244,39044,15841,86502,3307
